Primary,Business Domain,Data Group ,,,,
Spanish,Finanzas,Información Financiera,Ganancias Divulgadas Públicamente,No Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Tasas de Cambio Actuales,No Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Informes y Estados Financieros,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Servicios Financieros - Transferencias de Dinero/Pedidos， Cobro de Cheques， Tarjetas de Regalo,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Libro Mayor,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Tasas de Cambio a Plazo,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Tabla Global de Cuentas Publicada,Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Transacciones entre Compañías,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Facturas (GFR),Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Facturas (GNFR),Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Entradas de Diario,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Entidades Legales,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Pasivos y Deudas,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Ubicación y Centro de Ganancias/Centro de Costos,Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Gastos Operativos,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Unidades Operativas/Segmentos de Informes,Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Pagos y Desembolsos,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Licitación y Pagos (Efectivo， tarjetas de crédito， WIC， etc.),Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Socios Comerciales,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Tesorería,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Devoluciones,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Datos financieros confidenciales que no se han divulgado públicamente y que no pueden agregarse para mostrar el desempeño total de la compañía antes de un informe de ganancias,Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Datos financieros (p. ej. estado de cuenta， pago， historial de sobregiros y compras con tarjetas de débito/crédito),Sensibles,Información Personal,Sudáfrica
Spanish,Finanzas,Información Financiera,Otro número de cuenta no enlistados anteriormente,Sensibles,Información Personal,Sudáfrica
Spanish,Finanzas,Impuesto Global,Obligación Fiscal Publicada (p. ej.， impuesto federal， impuesto internacional， etc.),No Sensibles,Información Comercial,Global
Spanish,Finanzas,Impuesto Global,Obligación Fiscal No Publicada (p. ej.， Impuesto Federal， Impuesto Internacional， etc.),Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Impuesto Global,Cumplimiento del Impuesto Estatal sobre la Renta,Sensibles,Información Comercial,Global
Spanish,Finanzas,Impuesto Global,Reembolsos de Impuestos sobre las Ventas y el Uso,Sensibles,Información Comercial,Global
Spanish,Finanzas,Impuesto Global,Impuesto a las Ventas - Planificación y Operaciones de la Tienda,Sensibles,Información Comercial,Global
Spanish,Finanzas,Impuesto Global,Defensa de Auditoría Fiscal de Ventas,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Impuesto Global,Cumplimiento del Impuesto sobre las Ventas,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Tesorería Global,Tesoro Global,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Tesorería Global,Operaciones de Tesorería,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Tesorería Global,Mercados de Capital,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Institucional,Análisis o perspectivas de datos ,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Institucional,Volumen o datos de ventas de la compañía por canal o mercado,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Institucional,Información utilizada para preparar Informes Anuales o Informes Financieros ,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Institucional,Informes de Auditoría Interna  ,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Institucional,Gráficos de Organizaciones de Entidades Legales divulgados públicamente ,No Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Institucional,Gráficos Internos de la Organización de la Entidad Legal ,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Relaciones con Inversionistas,Relaciones Públicas y con Inversionistas,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Relaciones con Inversionistas,Informes Trimestrales,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Integración de Fusiones y Adquisiciones y Planificación Nacional,Planificación Nacional,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Integración de Fusiones y Adquisiciones y Planificación Nacional,Integraciones,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Integración de Fusiones y Adquisiciones y Planificación Nacional,Política de Impuestos,Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Institucional de Propiedad Exclusiva,Datos o detalles contables ,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Institucional de Propiedad Exclusiva,Fusiones y Adquisiciones planificadas o consideradas， Compras/Adquisiciones o Desinversiones/Ventas o Cierres ,Altamente Sensibles,Información Comercial,Global
Spanish,Salud y Bienestar,Información laboral,Notas médicas y otra información médica del asociado,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Resultados de pruebas de alcohol y drogas ,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Productos para la Salud,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Equipo de Salud,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Datos del Ejercicio ,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Antecedentes de Salud familiar o morbilidad,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Resultados o información de pruebas genéticas ,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Identificación de seguro médico o número de cuenta,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Información personal/del seguro del hogar,Sensibles,Información Personal,Sudáfrica
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Información de pago de atención médica,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Información demográfica de pacientes,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Antecedentes Médicos,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Antecedentes Médicos sin Identificación,Altamente Sensibles,Información Comercial,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Diagnóstico Médico sin Identificación,Altamente Sensibles,Información Comercial,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Diagnóstico Médico,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Tratamiento médico ,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Diagnóstico Médico por Imágenes/Radiología y metadatos,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Antecedentes de Salud Conductual,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Diagnóstico de Salud Conductual,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Tratamiento de Salud Conductual,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Antecedentes Dentales,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Antecedentes Dentales sin Identificación,Sensibles,Información Comercial,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Diagnóstico Dental,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Tratamiento Dental,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Diagnóstico por Imágenes/Radiología Dental y metadatos,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Optometría/Historial Óptico,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Optometría/Diagnóstico Óptico,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Optometría/Tratamiento Óptico,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Imágenes/Radiología y metadatos de Optometría,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Número o información de receta/Rx ,Altamente Sensibles,Información Personal,Global
Spanish,Salud y Bienestar,Información sobre Salud y Seguros Médicos,Datos del sueño,Altamente Sensibles,Información Personal,Global
