Sub Division,Region,Market,Store Nbr,ACC POS$ Apr,ACC POS$ YTD,Car Count  Apr,Car Count YTD,  VIT   Apr,VIT YTD,Tire Bay Time   Apr,Tire Bay Time YTD,Oil Bay Time   Apr,Oil Bay Time YTD,Appt. Success Rate   Apr,Appt. Success Rate YTD,Other Services   Apr,Other Services YTD,Tire Units   Apr,Tire Units YTD,Oil Units   Apr,Oil Units YTD,Overall Ranking   Apr,Overall Ranking YTD
WEST BU,52 - MN IA,412,4244,13.1%,16.8%,6.6%,11.9%,0:07:10,0:07:27,0:33:21,0:31:25,0:16:07,0:16:24,94.2%,92.3%,-68.0%,-46.2%,28.1%,25.2%,-2.5%,5.9%,930,551
WEST BU,47 - Frontier,383,4247,21.6%,19.3%,14.6%,16.3%,0:33:51,0:28:58,0:23:27,0:24:37,0:28:30,0:26:44,28.6%,33.0%,17.7%,82.6%,22.6%,6.1%,6.9%,14.2%,"2,207","2,005"
WEST BU,52 - MN IA,412,4253,32.6%,22.5%,26.3%,24.5%,0:07:11,0:06:41,0:24:04,0:24:40,0:16:14,0:15:03,91.4%,89.7%,-48.1%,-37.4%,43.4%,11.9%,18.6%,23.7%,639,527
NORTH BU,"20 - VA, OH, PA, WV",214,4255,4.9%,12.4%,13.4%,10.4%,0:24:17,0:29:03,0:33:24,0:35:41,0:27:12,0:28:11,48.0%,44.8%,-34.6%,-34.9%,-1.6%,11.7%,17.6%,11.2%,"1,305","1,096"
WEST BU,52 - MN IA,414,4256,14.6%,18.2%,25.5%,24.0%,0:25:31,0:26:40,0:37:48,0:36:54,0:32:17,0:31:10,33.7%,34.9%,81.9%,54.6%,7.7%,10.1%,55.8%,40.3%,530,434
SOUTHEAST BU,09 - S. Florida,107,4260,-0.5%,-8.0%,4.9%,-5.4%,0:23:57,0:22:38,0:23:31,0:25:08,0:25:00,0:22:51,46.4%,48.8%,-62.5%,-56.5%,-8.7%,-16.4%,38.8%,16.4%,665,872
SOUTHEAST BU,"03 - GA, FL",95,4262,3.6%,4.2%,3.0%,4.2%,0:25:53,0:30:41,0:37:47,0:37:37,0:28:35,0:28:42,67.6%,62.4%,-59.6%,-42.9%,5.4%,6.8%,3.1%,4.8%,762,918
EAST BU,04 - South Carolina,300,4273,24.7%,4.7%,50.9%,18.9%,0:31:30,0:33:37,0:35:21,0:37:03,0:30:07,0:30:36,53.0%,54.4%,41.3%,110.0%,6.7%,-4.1%,266.9%,37.9%,193,575
EAST BU,26 - North Carolina,305,4274,9.3%,4.0%,3.0%,6.5%,0:19:53,0:20:11,0:30:46,0:31:58,0:23:33,0:23:55,57.9%,59.3%,-12.4%,-54.3%,-2.6%,-2.0%,9.2%,13.5%,"1,126","1,516"
NORTH BU,"20 - VA, OH, PA, WV",316,4277,22.5%,20.7%,36.3%,22.3%,0:12:56,0:14:24,0:27:36,0:29:46,0:23:54,0:24:44,79.7%,76.1%,83.8%,16.0%,17.7%,25.8%,23.1%,7.9%,28,81
SOUTHWEST BU,05 - Dallas,44,4279,7.6%,4.6%,11.9%,11.2%,0:17:54,0:18:19,0:23:31,0:24:46,0:18:28,0:17:33,62.8%,64.0%,-27.3%,-32.0%,8.5%,-1.4%,11.7%,13.4%,268,268
WEST BU,54 - Rocky Mountain,380,4284,30.9%,33.2%,6.0%,12.9%,0:16:25,0:14:50,0:31:20,0:34:14,0:22:59,0:23:10,51.4%,56.4%,-55.6%,-47.8%,53.6%,49.0%,0.3%,-0.1%,681,437
NORTH BU,"20 - VA, OH, PA, WV",214,4285,11.0%,12.5%,45.2%,39.5%,0:37:14,0:36:45,0:28:43,0:30:54,0:27:50,0:27:51,23.9%,27.7%,-70.0%,-26.9%,-2.1%,-0.6%,114.9%,96.9%,"1,823","1,649"
NORTH BU,25 - Chicago / IL,265,4286,18.9%,6.1%,9.3%,1.0%,0:21:30,0:21:16,0:52:58,0:52:10,0:34:22,0:35:17,60.9%,54.6%,-31.1%,-27.0%,33.8%,6.2%,8.0%,-0.9%,"2,041","2,334"
SOUTHWEST BU,"13 - LA, MS",134,4295,8.1%,9.7%,-4.1%,4.9%,0:18:45,0:21:11,0:20:52,0:23:13,0:21:06,0:21:15,57.9%,59.8%,38.9%,-35.9%,4.0%,12.3%,0.0%,6.9%,"1,538","1,297"
SOUTHWEST BU,06 - South Texas,59,4298,14.7%,10.2%,8.1%,6.7%,0:41:25,0:40:51,0:33:55,0:33:35,0:12:55,0:14:35,26.4%,33.2%,-16.3%,-65.0%,20.7%,14.3%,5.4%,7.2%,770,837
SOUTHWEST BU,07 - W TX / N NM,71,4299,1.8%,3.1%,6.5%,7.1%,0:17:04,0:17:53,0:29:30,0:31:23,0:28:06,0:25:37,73.8%,72.2%,-56.1%,-57.9%,1.1%,1.0%,8.7%,16.5%,"1,663","1,498"
SOUTHEAST BU,"14 - AL, FL",8,4318,11.5%,6.1%,1.6%,1.5%,0:25:30,0:26:42,0:40:08,0:42:06,0:23:37,0:25:26,50.0%,53.5%,-39.0%,-32.4%,22.4%,10.8%,-2.7%,-2.5%,"1,317","1,540"
SOUTHWEST BU,"44 - Oklahoma, N TX",409,4321,6.5%,12.2%,13.3%,11.7%,0:13:50,0:22:42,0:33:51,0:40:02,0:21:09,0:25:45,84.9%,73.0%,-27.4%,-43.1%,6.1%,9.3%,12.8%,12.4%,239,343
NORTH BU,25 - Chicago / IL,262,4323,6.3%,5.3%,-7.1%,-3.8%,0:26:38,0:23:37,0:32:21,0:31:54,0:28:23,0:27:16,56.0%,51.0%,9.8%,153.8%,4.3%,-1.1%,2.8%,1.1%,"2,403","2,312"
WEST BU,58 - S CA W AZ,365,4325,15.2%,6.8%,25.0%,13.9%,0:22:03,0:22:10,0:44:20,0:45:13,0:36:27,0:37:57,95.9%,94.2%,373.5%,132.2%,5.4%,-2.3%,27.4%,17.5%,35,102
SOUTHEAST BU,"14 - AL, FL",13,4330,10.9%,7.0%,3.6%,10.9%,0:10:38,0:11:09,0:30:02,0:31:38,0:23:54,0:23:34,75.5%,78.3%,-25.4%,6.7%,14.4%,4.0%,3.0%,15.0%,937,817
SOUTHEAST BU,09 - S. Florida,90,4332,8.7%,-1.0%,-1.1%,0.1%,0:28:41,0:25:47,0:31:21,0:30:00,0:27:51,0:25:05,37.9%,42.0%,82.1%,-19.7%,11.9%,1.3%,-4.8%,-1.8%,620,"1,076"
SOUTHEAST BU,"14 - AL, FL",1,4333,12.2%,9.2%,15.4%,8.8%,0:23:40,0:23:43,0:37:01,0:37:35,0:29:51,0:31:59,69.1%,66.3%,167.9%,75.2%,24.9%,12.6%,15.1%,12.9%,312,415
WEST BU,54 - Rocky Mountain,391,4335,1.2%,6.0%,-1.0%,6.8%,0:15:07,0:18:34,0:38:47,0:35:23,0:26:44,0:26:42,95.7%,97.4%,-31.4%,-32.7%,1.5%,8.8%,0.4%,9.3%,"1,004",513
WEST BU,58 - S CA W AZ,445,4340,-5.0%,-2.4%,15.2%,2.6%,0:20:24,0:24:16,0:44:37,0:43:32,0:33:29,0:30:11,98.4%,82.7%,73.6%,86.2%,-5.7%,-1.2%,16.9%,6.5%,"1,193","1,269"
SOUTHWEST BU,46 - Phoenix,387,4341,2.1%,-3.7%,2.7%,7.4%,0:21:59,0:20:39,0:28:24,0:26:39,0:31:37,0:30:43,58.5%,62.6%,-18.6%,-50.1%,-9.9%,-16.8%,6.9%,11.4%,"2,467","2,441"
WEST BU,57 - LA Vegas HI,396,4356,1.7%,-0.2%,1.5%,-1.6%,0:37:18,0:35:44,0:33:53,0:35:12,0:28:44,0:28:48,43.1%,45.0%,-31.4%,-29.9%,3.0%,1.2%,-0.4%,1.0%,"1,328","1,345"
SOUTHEAST BU,09 - S. Florida,90,4365,-0.7%,0.4%,-15.3%,-12.0%,0:32:37,0:28:49,0:27:52,0:22:14,0:18:59,0:17:22,24.8%,26.6%,-5.5%,-68.6%,14.9%,19.3%,-21.0%,-18.1%,"1,804","1,691"
SOUTHEAST BU,"03 - GA, FL",93,4368,0.0%,-0.9%,14.5%,13.4%,0:36:19,0:36:32,0:19:47,0:16:25,0:15:31,0:12:54,37.7%,33.1%,-29.7%,-12.2%,-3.0%,0.6%,5.2%,6.8%,"1,194","1,157"
EAST BU,"76 - West NY, PA, VA & DC",320,4372,-16.4%,-36.8%,12.7%,-34.8%,0:07:08,0:07:31,0:25:52,0:25:48,0:25:57,0:25:51,84.4%,86.4%,-34.8%,-42.6%,-28.3%,-42.7%,26.7%,-30.9%,"2,176","2,407"
WEST BU,52 - MN IA,421,4374,15.5%,23.7%,12.9%,19.0%,0:10:25,0:10:03,0:29:46,0:29:39,0:29:50,0:29:16,86.9%,80.1%,-5.1%,42.9%,19.2%,21.2%,21.0%,15.5%,966,694
NORTH BU,40 - Missouri,333,4381,9.6%,5.8%,16.9%,13.1%,0:20:55,0:18:57,0:37:44,0:36:50,0:27:54,0:26:18,66.2%,69.6%,139.6%,68.6%,3.1%,-1.5%,12.8%,7.9%,272,220
EAST BU,04 - South Carolina,36,4384,32.4%,29.0%,63.1%,34.8%,0:11:46,0:11:47,0:27:15,0:27:52,0:29:41,0:29:11,52.8%,63.5%,228.8%,-34.8%,29.7%,25.8%,74.0%,49.1%,703,615
EAST BU,16 - New England,156,4387,2.5%,5.8%,37.4%,15.6%,0:27:49,0:36:00,0:41:30,0:39:52,0:30:50,0:33:27,40.4%,32.8%,55.2%,-37.2%,-3.1%,3.8%,114.7%,75.0%,865,"1,284"
EAST BU,16 - New England,181,4389,7.1%,11.4%,31.5%,30.9%,0:03:47,0:03:50,0:28:37,0:29:01,0:27:05,0:26:11,90.9%,91.6%,97.4%,224.8%,1.8%,3.8%,61.8%,40.6%,201,328
NORTH BU,21 - OH/IN,247,4399,34.7%,20.0%,16.0%,5.4%,0:33:48,0:35:13,0:33:23,0:32:53,0:27:00,0:25:34,45.3%,42.8%,2.1%,19.8%,56.7%,26.8%,-1.5%,1.8%,"1,831","1,980"
NORTH BU,25 - Chicago / IL,264,4405,-1.6%,10.1%,2.0%,5.7%,0:33:12,0:35:40,0:13:10,0:12:26,0:16:15,0:15:13,29.7%,25.0%,32.2%,-4.4%,-2.8%,16.0%,8.9%,-1.1%,"2,295","1,874"
SOUTHEAST BU,"14 - AL, FL",8,4407,12.1%,13.1%,18.5%,16.0%,0:22:38,0:20:13,0:29:16,0:31:25,0:24:52,0:21:36,49.5%,48.9%,-3.0%,67.0%,14.2%,8.8%,26.5%,31.3%,814,429
SOUTHEAST BU,02 - Atlanta GA,22,4409,-1.2%,9.8%,3.8%,16.4%,0:21:32,0:22:34,0:42:23,0:45:12,0:34:31,0:34:05,59.0%,57.1%,38.8%,19.1%,-1.0%,-1.0%,12.0%,25.6%,"2,288","1,494"
EAST BU,26 - North Carolina,304,4410,17.2%,8.7%,17.6%,17.8%,0:13:11,0:14:38,0:30:38,0:30:48,0:23:47,0:24:50,82.3%,76.6%,-47.5%,-54.6%,28.3%,10.8%,8.9%,23.3%,445,751
SOUTHEAST BU,12 - Nashville,152,4414,-10.9%,-7.9%,-5.6%,-13.2%,0:15:19,0:16:06,0:27:38,0:26:39,0:26:05,0:24:07,78.2%,74.6%,-61.0%,-59.3%,-6.4%,-8.0%,0.5%,-8.2%,"2,411","2,406"
NORTH BU,41 - Indy / KY,251,4417,1.3%,8.5%,8.2%,16.0%,0:45:12,0:48:48,1:00:50,0:47:20,0:46:02,0:41:54,23.4%,21.9%,-53.7%,-23.0%,-8.7%,0.1%,7.5%,16.8%,"2,509","2,358"
EAST BU,04 - South Carolina,41,4420,5.9%,5.0%,13.5%,9.3%,0:13:40,0:11:53,0:32:20,0:24:56,0:19:30,0:16:53,71.1%,71.1%,7.6%,-42.0%,3.9%,-1.9%,16.9%,14.9%,"1,072",848
NORTH BU,"19 - Michigan, OH",206,4424,2.9%,9.0%,11.6%,11.7%,0:18:56,0:21:02,0:35:24,0:37:32,0:22:35,0:23:52,55.7%,49.0%,-0.3%,-2.3%,-10.1%,3.2%,13.2%,12.0%,710,502
SOUTHEAST BU,12 - Nashville,149,4435,-11.4%,-4.6%,-3.9%,-10.1%,0:10:36,0:12:02,0:25:36,0:26:58,0:30:51,0:29:10,74.1%,69.5%,-60.2%,-34.2%,-9.5%,-12.3%,-16.6%,-18.7%,"2,055","1,893"
SOUTHEAST BU,02 - Atlanta GA,24,4436,13.4%,7.5%,7.1%,12.5%,0:19:48,0:27:48,0:14:02,0:15:50,0:16:54,0:19:25,47.3%,37.9%,16.3%,90.0%,26.9%,8.2%,5.2%,12.1%,"1,512","2,010"
WEST BU,54 - Rocky Mountain,582,4438,25.3%,17.8%,22.5%,16.2%,0:19:22,0:17:24,0:30:06,0:29:00,0:20:08,0:20:18,49.5%,57.3%,33.1%,22.9%,13.8%,19.4%,19.3%,13.9%,54,30
NORTH BU,41 - Indy / KY,242,4450,4.6%,8.7%,-3.1%,2.9%,0:29:41,0:21:20,0:33:10,0:29:17,0:26:51,0:23:01,46.2%,57.1%,-3.2%,-23.1%,3.5%,6.1%,-1.8%,3.0%,"2,182","1,291"
SOUTHWEST BU,46 - Phoenix,373,4451,-3.6%,-1.4%,-2.3%,-1.7%,0:22:17,0:23:13,0:44:18,0:43:52,0:31:09,0:32:00,55.5%,56.2%,-17.9%,3.3%,-9.3%,-4.2%,-2.2%,-0.6%,"1,853","1,751"
SOUTHEAST BU,"42 - AR, MO, LA",324,4460,7.8%,4.3%,6.3%,0.0%,0:20:23,0:22:34,0:23:58,0:24:37,0:21:22,0:21:59,54.0%,51.8%,-20.5%,-8.7%,5.9%,2.3%,11.8%,5.5%,"1,001","1,262"
NORTH BU,40 - Missouri,362,4475,-9.9%,-6.8%,-12.9%,-5.7%,0:21:25,0:20:33,0:37:38,0:42:31,0:32:45,0:28:40,65.5%,64.0%,-46.3%,-18.8%,-7.7%,-10.4%,-11.7%,-4.2%,"2,187","1,965"
SOUTHEAST BU,12 - Nashville,149,4483,12.5%,-0.7%,-1.3%,-7.4%,0:19:26,0:19:11,0:39:45,0:39:35,0:35:15,0:33:51,73.3%,68.7%,-50.3%,-24.7%,17.6%,-0.5%,-12.0%,-11.6%,"1,192","1,853"
EAST BU,04 - South Carolina,39,4487,14.0%,7.8%,5.3%,9.3%,0:22:35,0:27:23,0:25:43,0:27:32,0:23:01,0:23:32,53.9%,47.5%,-55.2%,-2.7%,22.9%,11.1%,4.5%,13.5%,976,"1,393"
SOUTHEAST BU,"14 - AL, FL",13,4497,3.7%,7.9%,14.0%,20.1%,0:28:06,0:23:12,0:42:33,0:41:36,0:33:05,0:33:19,48.5%,52.1%,15.8%,-18.8%,-1.4%,-0.4%,13.6%,31.9%,"2,236","1,599"
SOUTHWEST BU,05 - Dallas,44,4503,2.3%,0.0%,-10.9%,-10.1%,0:51:22,0:52:55,0:40:14,0:36:59,0:21:41,0:23:25,24.1%,26.9%,-70.2%,-68.6%,-6.2%,-7.1%,-1.9%,-7.7%,"2,311","2,380"
EAST BU,04 - South Carolina,41,4506,2.9%,5.0%,-3.3%,5.2%,0:25:45,0:27:08,0:25:16,0:26:27,0:27:26,0:26:38,46.5%,46.8%,-57.0%,-38.9%,14.4%,5.0%,-5.2%,11.1%,"1,978","1,657"
SOUTHWEST BU,06 - South Texas,80,4508,19.8%,8.9%,5.6%,-1.0%,0:50:43,0:47:48,0:35:20,0:38:04,0:23:08,0:20:53,89.9%,88.1%,176.9%,209.9%,30.7%,5.9%,1.5%,-3.4%,494,783
NORTH BU,25 - Chicago / IL,279,4511,7.6%,5.6%,4.9%,10.4%,0:20:20,0:20:05,0:39:04,0:38:35,0:22:53,0:23:12,53.5%,58.6%,-28.5%,-35.9%,7.5%,1.8%,9.8%,15.6%,"1,135",756
SOUTHWEST BU,06 - South Texas,65,4512,9.1%,12.3%,13.7%,13.9%,0:40:23,0:35:53,0:34:49,0:31:16,0:27:03,0:23:27,41.4%,40.9%,114.1%,73.6%,9.3%,16.1%,11.9%,11.5%,"1,248",488
EAST BU,04 - South Carolina,41,4521,12.3%,5.0%,6.0%,-1.3%,0:17:41,0:18:19,0:23:55,0:24:36,0:19:30,0:19:32,60.0%,59.5%,7.7%,-26.3%,17.4%,-0.8%,2.1%,2.3%,165,345
NORTH BU,25 - Chicago / IL,265,4531,13.7%,9.1%,17.0%,11.1%,0:13:59,0:14:33,0:24:31,0:27:42,0:20:04,0:22:16,67.7%,73.2%,-45.0%,-47.8%,6.5%,1.3%,13.8%,12.7%,365,448
SOUTHEAST BU,11 - Memphis,145,4533,12.7%,-1.3%,-3.8%,-5.9%,0:33:27,0:36:42,0:33:13,0:34:46,0:29:39,0:32:18,37.5%,43.7%,5.9%,31.9%,14.6%,-0.7%,-7.9%,-0.4%,"1,918","2,365"
SOUTHWEST BU,06 - South Texas,67,4538,12.9%,13.8%,22.4%,22.1%,0:17:21,0:16:53,0:32:58,0:33:39,0:23:38,0:22:19,64.6%,60.7%,-16.3%,-4.8%,10.7%,8.5%,26.5%,27.6%,190,163
NORTH BU,"19 - Michigan, OH",203,4540,-6.1%,0.1%,-5.2%,-0.1%,0:11:10,0:13:24,0:28:57,0:31:24,0:23:26,0:21:54,74.5%,71.8%,-38.1%,-40.5%,-11.5%,-3.3%,4.0%,3.4%,"2,027","1,916"
NORTH BU,40 - Missouri,361,4553,15.5%,12.9%,32.2%,19.2%,0:26:22,0:25:15,0:35:56,0:34:48,0:14:22,0:16:58,52.4%,56.1%,-50.7%,-25.7%,17.7%,13.1%,56.1%,33.7%,362,238
NORTH BU,40 - Missouri,361,4590,-0.7%,-3.2%,4.9%,-2.9%,0:18:31,0:17:45,0:37:47,0:39:53,0:33:03,0:31:26,67.6%,69.2%,-30.9%,-55.1%,-11.5%,-14.7%,8.1%,1.4%,"1,510","1,904"
SOUTHWEST BU,46 - Phoenix,387,4601,7.1%,10.1%,8.2%,8.6%,0:20:26,0:20:00,0:35:59,0:31:22,0:20:31,0:20:13,76.9%,76.3%,27.8%,11.8%,10.7%,5.9%,9.5%,8.7%,325,124
SOUTHWEST BU,"44 - Oklahoma, N TX",356,4615,11.0%,-0.9%,5.4%,-4.0%,0:14:31,0:15:08,0:19:39,0:20:56,0:17:33,0:18:14,74.1%,69.8%,-14.3%,-2.3%,6.3%,-6.2%,-5.1%,-10.2%,194,819
SOUTHEAST BU,02 - Atlanta GA,18,4616,3.4%,0.4%,15.0%,12.7%,0:26:22,0:27:45,0:39:54,0:36:42,0:29:01,0:26:44,58.2%,61.4%,-45.6%,-50.6%,4.6%,-0.6%,14.8%,12.2%,"1,479","1,339"
NORTH BU,"19 - Michigan, OH",238,4631,-5.7%,5.2%,-24.7%,-6.4%,0:38:22,0:35:53,0:34:50,0:29:12,0:34:52,0:31:02,26.2%,29.3%,-39.9%,-43.5%,1.0%,5.2%,-18.9%,-1.7%,"2,573","2,362"
SOUTHEAST BU,12 - Nashville,122,4635,14.8%,4.0%,19.3%,13.4%,0:27:38,0:35:29,0:40:41,0:43:08,0:30:05,0:32:10,63.5%,52.0%,-33.2%,-7.4%,19.2%,3.3%,22.3%,31.0%,689,"1,764"
NORTH BU,"20 - VA, OH, PA, WV",229,4643,-26.5%,-10.6%,-5.3%,5.5%,0:07:14,0:06:16,0:22:48,0:28:26,0:25:49,0:26:52,88.8%,89.0%,-39.9%,-31.0%,-31.5%,-12.6%,-9.1%,2.7%,"2,098","1,945"
WEST BU,47 - Frontier,381,4653,22.8%,16.0%,21.0%,15.5%,0:20:00,0:21:06,0:25:06,0:26:14,0:22:39,0:24:22,63.6%,61.5%,-22.2%,0.3%,15.0%,10.9%,13.5%,12.1%,683,780
WEST BU,57 - LA Vegas HI,405,4678,-1.3%,-1.8%,1.7%,-4.8%,0:31:22,0:27:18,0:31:56,0:31:57,0:34:49,0:33:30,61.3%,63.6%,-44.2%,-29.1%,-16.3%,-10.9%,9.4%,-2.6%,"1,434","1,467"
EAST BU,"75 - VA, MD",315,4682,5.2%,4.2%,9.6%,16.5%,0:36:24,0:38:53,0:18:27,0:18:48,0:23:47,0:22:42,33.3%,27.9%,-72.2%,-52.3%,-6.5%,-2.1%,9.3%,12.2%,"2,080","1,931"
WEST BU,54 - Rocky Mountain,582,4696,17.7%,4.7%,14.4%,9.5%,0:05:23,0:05:13,0:28:56,0:27:28,0:23:26,0:22:35,93.8%,91.6%,-17.1%,-33.2%,28.3%,10.4%,24.2%,13.6%,462,"1,066"
WEST BU,54 - Rocky Mountain,585,4734,14.7%,6.0%,3.4%,8.8%,0:17:21,0:17:03,0:42:38,0:42:07,0:29:45,0:30:01,76.5%,74.7%,29.5%,14.0%,28.1%,-0.5%,-4.0%,17.2%,"1,423","1,610"
WEST BU,52 - MN IA,419,4849,14.2%,17.1%,10.7%,11.8%,0:16:57,0:15:50,0:29:56,0:33:43,0:33:40,0:33:37,72.7%,72.9%,72.7%,35.9%,19.1%,14.1%,10.8%,13.0%,"1,543","1,363"
WEST BU,47 - Frontier,430,4865,9.7%,13.7%,14.9%,11.7%,0:17:07,0:19:45,0:36:18,0:37:07,0:23:13,0:25:00,70.9%,68.5%,130.6%,88.9%,14.2%,5.5%,12.9%,4.7%,823,757
NORTH BU,21 - OH/IN,248,5025,13.3%,6.9%,3.9%,-0.5%,0:17:00,0:16:45,0:27:20,0:30:23,0:23:02,0:23:54,65.5%,65.9%,55.0%,-14.2%,35.5%,19.0%,-2.4%,-3.2%,318,472
NORTH BU,"19 - Michigan, OH",207,5028,18.2%,12.5%,10.2%,14.1%,0:08:51,0:08:08,0:32:17,0:34:31,0:19:12,0:22:28,76.9%,74.7%,-26.4%,40.0%,26.1%,7.4%,7.1%,13.7%,981,958
NORTH BU,"19 - Michigan, OH",207,5029,4.4%,5.8%,-3.1%,-2.0%,0:15:35,0:17:15,0:29:11,0:26:56,0:22:10,0:21:19,60.7%,58.6%,0.6%,8.7%,17.2%,7.2%,-7.9%,-2.4%,"1,673","1,440"
NORTH BU,"19 - Michigan, OH",207,5030,88.4%,66.1%,121.9%,60.7%,0:16:52,0:15:05,0:38:58,0:33:49,0:18:41,0:20:57,66.4%,68.9%,24.3%,2.7%,99.0%,79.5%,148.9%,57.4%,499,296
SOUTHWEST BU,46 - Phoenix,366,5031,3.1%,7.6%,16.1%,16.2%,0:28:48,0:24:40,0:33:07,0:33:22,0:23:00,0:21:46,59.5%,62.1%,33.0%,-36.7%,-3.5%,2.7%,15.8%,18.2%,367,176
WEST BU,58 - S CA W AZ,464,5032,19.4%,10.1%,26.5%,18.2%,0:25:52,0:28:50,0:21:13,0:25:40,0:22:05,0:20:59,74.5%,77.2%,-29.8%,-7.9%,12.9%,4.2%,28.7%,20.2%,18,49
WEST BU,54 - Rocky Mountain,378,5033,2.6%,-8.7%,-0.1%,-7.7%,0:31:57,0:29:02,0:36:17,0:41:05,0:23:12,0:21:29,74.8%,73.3%,-43.7%,-45.9%,0.0%,-17.1%,4.8%,4.0%,"2,202","2,461"
SOUTHEAST BU,09 - S. Florida,105,5034,-3.5%,1.7%,17.0%,17.3%,0:33:26,0:37:36,0:37:07,0:36:26,0:25:53,0:24:54,34.3%,31.5%,-75.8%,-58.3%,-4.1%,3.9%,34.4%,33.3%,"1,559","1,309"
SOUTHEAST BU,09 - S. Florida,116,5035,11.6%,2.7%,6.4%,4.7%,0:21:23,0:20:37,0:36:44,0:37:47,0:20:56,0:19:35,59.7%,63.5%,-59.2%,-51.8%,16.2%,6.0%,4.9%,9.3%,377,549
SOUTHEAST BU,"03 - GA, FL",112,5036,3.8%,6.3%,16.5%,8.9%,1:00:48,0:57:32,0:38:47,0:38:10,0:26:48,0:24:15,28.2%,31.2%,3.6%,-10.3%,5.0%,5.6%,16.3%,13.1%,813,738
SOUTHEAST BU,"03 - GA, FL",98,5037,-0.8%,-4.7%,-5.4%,-3.1%,0:20:58,0:20:53,0:33:55,0:31:16,0:25:08,0:26:07,48.3%,52.0%,8.0%,16.1%,11.5%,-6.1%,-9.6%,-4.7%,"1,290","1,300"
EAST BU,"22 - PA, NJ",284,5039,18.0%,5.2%,5.6%,3.1%,0:12:00,0:14:26,0:34:41,0:29:18,0:24:36,0:22:30,66.5%,61.4%,61.7%,202.5%,20.8%,2.7%,7.0%,4.5%,32,106
WEST BU,60 - OR WA AK,514,5041,-0.6%,0.4%,11.5%,8.5%,0:15:13,0:18:59,0:43:15,0:46:22,0:33:11,0:34:08,68.6%,61.8%,-8.4%,-1.4%,-13.8%,-1.3%,27.3%,16.5%,"1,664","1,935"
SOUTHWEST BU,06 - South Texas,67,5045,13.9%,11.5%,16.0%,10.4%,0:38:17,0:41:28,0:30:23,0:31:35,0:15:43,0:15:52,27.4%,29.4%,18.8%,-14.9%,14.6%,10.4%,13.5%,14.6%,"1,083","1,183"
EAST BU,26 - North Carolina,299,5046,-11.7%,-15.3%,-25.7%,-28.2%,0:17:22,0:16:41,0:31:58,0:29:22,0:21:10,0:19:11,60.1%,66.1%,6.2%,10.6%,-5.8%,-12.2%,-24.2%,-27.9%,"1,796","1,625"
NORTH BU,"19 - Michigan, OH",203,5048,11.7%,20.1%,17.1%,18.5%,0:11:35,0:11:24,0:25:21,0:26:52,0:22:14,0:22:16,81.0%,81.0%,-45.0%,-45.6%,5.4%,19.7%,25.0%,20.3%,717,505
WEST BU,54 - Rocky Mountain,380,5049,-1.1%,-3.3%,-4.8%,-3.0%,0:21:17,0:23:17,0:28:06,0:28:56,0:19:51,0:19:34,62.1%,58.8%,-70.0%,42.8%,-10.3%,-17.8%,-1.0%,1.9%,"2,073","2,027"
WEST BU,54 - Rocky Mountain,378,5051,8.6%,8.9%,5.6%,9.8%,0:16:04,0:15:33,0:38:09,0:35:55,0:31:24,0:31:27,76.9%,75.1%,-33.4%,-29.2%,5.1%,2.9%,6.1%,10.7%,617,348
SOUTHEAST BU,"03 - GA, FL",98,5054,-0.4%,-6.9%,-6.5%,-8.7%,0:30:02,0:32:04,0:37:43,0:44:26,0:30:55,0:30:12,50.0%,44.9%,-12.0%,-13.2%,-5.5%,-12.0%,-17.0%,-13.0%,"1,520","2,000"
SOUTHEAST BU,09 - S. Florida,105,5055,2.6%,9.1%,3.9%,12.9%,0:49:12,0:52:41,0:24:51,0:27:05,0:20:28,0:19:03,25.9%,20.2%,-78.7%,-82.6%,13.5%,17.9%,-12.2%,10.7%,"1,808","1,329"
SOUTHWEST BU,"13 - LA, MS",131,5056,-12.8%,2.2%,-22.9%,0.4%,0:14:20,0:14:01,0:27:34,0:29:00,0:25:24,0:25:06,71.7%,76.6%,-95.6%,-82.5%,-5.6%,7.1%,-36.5%,2.2%,"2,488","2,163"
SOUTHEAST BU,12 - Nashville,151,5057,0.5%,2.3%,9.7%,5.4%,0:19:37,0:20:42,0:23:36,0:24:00,0:15:05,0:15:29,70.3%,66.5%,-11.1%,-23.0%,2.9%,2.0%,0.5%,2.9%,"1,204","1,285"
SOUTHEAST BU,12 - Nashville,153,5058,0.5%,-0.9%,-13.8%,-12.0%,0:17:12,0:17:27,0:23:20,0:26:23,0:16:51,0:17:06,62.3%,61.7%,-64.7%,-79.7%,7.4%,5.5%,-7.9%,-3.1%,"1,725","1,792"
NORTH BU,25 - Chicago / IL,270,5060,18.5%,10.6%,11.3%,5.5%,0:17:59,0:17:41,0:31:20,0:27:55,0:24:57,0:24:15,59.5%,59.6%,-19.1%,-15.0%,24.9%,7.0%,13.8%,6.4%,"1,029","1,294"
EAST BU,26 - North Carolina,309,5063,12.4%,-0.4%,1.5%,-4.9%,0:27:16,0:25:55,0:21:25,0:21:49,0:30:45,0:25:50,46.2%,47.0%,-39.9%,-71.1%,20.0%,8.6%,-12.5%,-12.2%,"1,745","2,207"
